formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen
AcYbO3,Ac,Yb,orthorhombic,-3.094,0.099,0.2,15.548,0.0,5.937,6.214,8.429,90,90,90,-0.312
AcZnO3,Ac,Zn,orthorhombic,-2.416,0.033,0,12.54,0.0,5.587,5.662,7.928,90,90,90,0.7390000000000001
AcZrO3,Ac,Zr,orthorhombic,-3.365,0.069,-0.001,14.751,0.0,5.84,6.057,8.34,90,90,90,5.242000000000001
AgAcO3,Ag,Ac,orthorhombic,-1.6740000000000002,0.28300000000000003,0,15.943,0.0,6.008,6.225,8.526,90,90,90,-1.294
Ag2O3,Ag,Ag,cubic,0.35100000000000003,0.5760000000000001,-,12.997,0.0,4.02,4.02,4.02,90,90,90,-2.694
AgAlO3,Ag,Al,orthorhombic,-1.51,0.235,-,9.898,0.0,5.094,5.323,7.3,90,90,90,-1.341
AgAsO3,Ag,As,tetragonal,-0.815,0.293,-,11.367,0.0,3.571,3.571,4.458,90,90,90,0.529
AgAuO3,Ag,Au,cubic,0.28600000000000003,0.539,-,13.242,0.0,4.046,4.046,4.046,90,90,90,-1.113
AgBO3,Ag,B,cubic,-0.35,1.074,-,8.138,0.0,3.439,3.439,3.439,90,90,90,-2.641
AgBaO3,Ag,Ba,orthorhombic,-0.9890000000000001,0.38799999999999996,-,15.630999999999998,0.247,6.636,6.739,6.99,90,90,90,-6.975
AgBeO3,Ag,Be,cubic,-0.616,0.6829999999999999,-,8.781,0.0,3.528,3.528,3.528,90,90,90,-3.0580000000000003
AgBiO3,Ag,Bi,rhombohedral,-0.8170000000000001,0.064,-,13.662,0.0,5.765,5.765,5.765,60.4,60.4,60.4,-0.062
AgCaO3,Ag,Ca,rhombohedral,-0.975,0.435,-,14.204,0.0,5.884,5.884,5.884,59.4,59.4,59.4,-6.108
AgCdO3,Ag,Cd,cubic,0.174,0.7809999999999999,-,14.05,0.0,4.126,4.126,4.126,90,90,90,-4.143
AgCeO3,Ag,Ce,orthorhombic,-1.597,0.28,0,15.13,0.0,5.962,6.115,8.3,90,90,90,-3.253
AgCrO3,Ag,Cr,orthorhombic,-1.236,0.15,0.386,10.545,0.0,5.357,5.401,7.29,90,90,90,0.037000000000000005
AgCsO3,Ag,Cs,cubic,0.539,1.287,-,16.599,0.0,4.362,4.362,4.362,90,90,90,-1.8030000000000002
AgCuO3,Ag,Cu,orthorhombic,-0.22399999999999998,0.23,-,10.222000000000001,0.0,5.066,5.322,7.583,90,90,90,-2.405
AgDyO3,Ag,Dy,cubic,-1.334,0.7040000000000001,0,16.23,0.0,4.329,4.329,4.329,90,90,90,-3.359
AgErO3,Ag,Er,cubic,-1.386,0.675,-0.023,15.94,0.0,4.303,4.303,4.303,90,90,90,-3.225
AgEuO3,Ag,Eu,orthorhombic,-1.17,0.34700000000000003,-0.033,13.994000000000002,0.0,5.684,5.956,8.268,90,90,90,-4.981
AgGaO3,Ag,Ga,orthorhombic,-0.927,0.23600000000000002,-,10.602,0.0,5.13,5.419,7.628,90,90,90,-2.5180000000000002
AgGdO3,Ag,Gd,cubic,-1.281,0.728,0,16.72,0.0,4.373,4.373,4.373,90,90,90,-3.47
AgGeO3,Ag,Ge,orthorhombic,-1.053,0.18600000000000003,-,10.4,0.0,5.325,5.343,7.31,90,90,90,-0.267
AgHfO3,Ag,Hf,orthorhombic,-2.24,0.17,0.002,12.255,0.0,5.376,5.735,7.951,90,90,90,-0.054000000000000006
AgHgO3,Ag,Hg,cubic,0.409,0.703,-,14.36,0.0,4.156,4.156,4.156,90,90,90,-3.1660000000000004
AgHoO3,Ag,Ho,cubic,-1.3619999999999999,0.688,0.03,15.995,0.0,4.308,4.308,4.308,90,90,90,-3.272
AgInO3,Ag,In,cubic,-0.391,0.643,-,14.198,0.0,4.141,4.141,4.141,90,90,90,-3.35
AgIrO3,Ag,Ir,rhombohedral,-0.591,0.154,0.007,11.312999999999999,0.0,5.367,5.367,5.367,61.6,61.6,61.6,1.2329999999999999
AgKO3,Ag,K,cubic,1.006,1.761,-,16.199,0.0,4.327,4.327,4.327,90,90,90,-4.658
AgLaO3,Ag,La,orthorhombic,-1.7069999999999999,0.261,0.089,15.011,0.0,5.835,6.067,8.48,90,90,90,-2.616
AgLiO3,Ag,Li,cubic,0.105,0.9259999999999999,-,9.602,0.0,3.635,3.635,3.635,90,90,90,-5.547000000000001
AgLuO3,Ag,Lu,cubic,-1.528,0.565,-0.4,15.37,0.0,4.252,4.252,4.252,90,90,90,-2.3169999999999997
AgMgO3,Ag,Mg,cubic,-0.609,0.6940000000000001,-,11.550999999999998,0.0,3.865,3.865,3.865,90,90,90,-3.823
AgMnO3,Ag,Mn,orthorhombic,-1.013,0.151,0.596,10.450999999999999,0.0,5.328,5.333,7.356,90,90,90,-0.9420000000000001
AgMoO3,Ag,Mo,cubic,-1.548,0.182,0,11.963,0.0,3.911,3.911,3.911,90,90,90,4.381
AgNaO3,Ag,Na,cubic,0.624,1.3730000000000002,-,13.092,0.0,4.03,4.03,4.03,90,90,90,-9.782
AgNbO3,Ag,Nb,rhombohedral,-2.009,0.043,0,12.263,1.2690000000000001,5.611,5.611,5.611,59.2,59.2,59.2,4.672
AgNdO3,Ag,Nd,cubic,-1.1520000000000001,0.8270000000000001,0.013,17.662,0.0,4.453,4.453,4.453,90,90,90,-3.549
AgNiO3,Ag,Ni,orthorhombic,-0.377,0.23199999999999998,0.006,10.196,0.0,5.118,5.377,7.41,90,90,90,-1.9269999999999998
AgNpO3,Ag,Np,orthorhombic,-2.246,0.086,0.4,14.282,1.6980000000000002,5.694,6.003,8.356,90,90,90,1.048
AgOsO3,Ag,Os,rhombohedral,-0.8009999999999999,0.18,0.077,11.258,0.0,5.379,5.379,5.379,61,61,61,3.043
AgPaO3,Ag,Pa,rhombohedral,-2.326,-0.361,0,14.960999999999999,2.571,6.043,6.043,6.043,58.2,58.2,58.2,4.367
AgPbO3,Ag,Pb,orthorhombic,-0.6679999999999999,0.106,-,13.353,0.0,5.484,5.809,8.382,90,90,90,-1.825
AgPdO3,Ag,Pd,orthorhombic,-0.32299999999999995,0.115,-,11.304,0.0,5.3,5.526,7.719,90,90,90,-1.906
AgPmO3,Ag,Pm,cubic,-1.194,0.757,-0.025,17.337,0.0,4.426,4.426,4.426,90,90,90,-3.5069999999999997
AgPrO3,Ag,Pr,orthorhombic,-1.624,0.276,-0.001,14.835,0.0,5.914,6.088,8.241,90,90,90,-3.23
AgPtO3,Ag,Pt,orthorhombic,-0.389,0.162,0.185,11.472000000000001,0.0,5.39,5.527,7.702,90,90,90,-0.7390000000000001
AgPuO3,Ag,Pu,orthorhombic,-2.016,0.046,0.6,14.165999999999999,0.997,5.67,5.99,8.343,90,90,90,0.281
AgRbO3,Ag,Rb,cubic,0.9570000000000001,1.699,-,16.105999999999998,0.0,4.318,4.318,4.318,90,90,90,-12.398
AgReO3,Ag,Re,cubic,-1.22,0.301,0,11.767999999999999,0.0,3.889,3.889,3.889,90,90,90,4.367
AgRhO3,Ag,Rh,orthorhombic,-0.541,0.188,0.038,11.040999999999999,0.0,5.357,5.411,7.617,90,90,90,0.287
AgRuO3,Ag,Ru,rhombohedral,-0.754,0.11199999999999999,0.1,11.148,0.0,5.375,5.375,5.375,60.7,60.7,60.7,1.891
AgSbO3,Ag,Sb,orthorhombic,-1.157,0.109,-,12.152000000000001,0.0,5.539,5.591,7.848,90,90,90,2.278
AgScO3,Ag,Sc,orthorhombic,-1.781,0.235,0.001,11.772,0.0,5.276,5.635,7.918,90,90,90,-2.029
AgSiO3,Ag,Si,tetragonal,-1.63,0.32,-,10.221,0.0,3.32,3.32,4.638,90,90,90,0.18600000000000003
AgSmO3,Ag,Sm,cubic,-1.22,0.743,0.054,17.49,0.0,4.439,4.439,4.439,90,90,90,-3.43
AgSnO3,Ag,Sn,orthorhombic,-1.126,0.152,-,12.255,0.0,5.392,5.661,8.03,90,90,90,-0.512
AgSrO3,Ag,Sr,orthorhombic,-1.047,0.354,-,14.274000000000001,0.0,6.337,6.414,7.024,90,90,90,-7.542999999999999
AgTaO3,Ag,Ta,rhombohedral,-2.247,0.018000000000000002,0,12.114,2.03,5.584,5.584,5.584,59.3,59.3,59.3,5.586
AgTbO3,Ag,Tb,cubic,-1.177,0.716,-0.001,16.469,0.0,4.351,4.351,4.351,90,90,90,-3.403
AgTcO3,Ag,Tc,rhombohedral,-1.141,0.172,0.003,11.35,0.0,5.442,5.442,5.442,59.8,59.8,59.8,3.523
AgTeO3,Ag,Te,orthorhombic,-0.835,0.14,-,12.872,0.0,5.62,5.719,8.01,90,90,90,1.213
AgThO3,Ag,Th,cubic,-2.063,0.585,-0.115,17.974,0.0,4.479,4.479,4.479,90,90,90,-0.696
AgTiO3,Ag,Ti,orthorhombic,-1.915,0.13699999999999998,0.006,11.01,0.0,5.41,5.418,7.512,90,90,90,-0.16
AgTlO3,Ag,Tl,cubic,0.113,0.6940000000000001,-,14.969000000000001,0.0,4.214,4.214,4.214,90,90,90,-3.625
AgTmO3,Ag,Tm,cubic,-1.419,0.66,0,15.687000000000001,0.0,4.281,4.281,4.281,90,90,90,-3.122
AgUO3,Ag,U,rhombohedral,-2.513,-0.009000000000000001,0.2,14.714,2.636,6.032,6.032,6.032,57.7,57.7,57.7,3.748
AgVO3,Ag,V,tetragonal,-1.5819999999999999,0.125,0,11.419,0.341,3.684,3.684,4.208,90,90,90,1.8319999999999999
AgWO3,Ag,W,cubic,-1.675,0.281,0,12.02,0.0,3.917,3.917,3.917,90,90,90,5.1979999999999995
AgYO3,Ag,Y,cubic,-1.3730000000000002,0.643,0.401,16.597,0.0,4.362,4.362,4.362,90,90,90,-2.727
AgYbO3,Ag,Yb,orthorhombic,-1.234,0.281,-,12.637,0.0,5.8,5.981,7.285,90,90,90,-5.322
AgZnO3,Ag,Zn,cubic,-0.13,0.642,-,11.449000000000002,0.0,3.854,3.854,3.854,90,90,90,-3.48
AgZrO3,Ag,Zr,orthorhombic,-2.099,0.187,-0.034,12.568,0.0,5.398,5.783,8.052,90,90,90,-0.445
AlAcO3,Al,Ac,orthorhombic,-3.304,0.228,0,14.825,3.1180000000000003,5.553,5.62,9.501,90,90,90,-5.957999999999999
AlAgO3,Al,Ag,orthorhombic,-1.5430000000000001,0.203,-,11.015,0.0,4.913,5.222,8.588,90,90,90,-5.981
Al2O3,Al,Al,cubic,-2.079,1.186,-,9.258,0.0,3.591,3.591,3.591,90,90,90,-0.978
AlAsO3,Al,As,cubic,-0.946,1.409,-,11.095,0.0,3.814,3.814,3.814,90,90,90,1.18
AlAuO3,Al,Au,cubic,-0.085,1.6880000000000002,-,13.042,0.0,4.025,4.025,4.025,90,90,90,-0.897
AlBO3,Al,B,cubic,-1.37,1.6130000000000002,-,7.079,0.0,3.283,3.283,3.283,90,90,90,0.6940000000000001
AlBaO3,Al,Ba,orthorhombic,-2.722,0.217,-,15.338,0.369,5.405,6.293,9.019,90,90,90,-9.71
AlBeO3,Al,Be,cubic,-1.499,1.3319999999999999,-,7.62,0.0,3.365,3.365,3.365,90,90,90,-4.029
AlBiO3,Al,Bi,orthorhombic,-2.1319999999999997,0.257,-,13.078,1.156,5.494,5.499,8.657,90,90,90,-4.525
AlCaO3,Al,Ca,orthorhombic,-2.7969999999999997,0.165,-,12.155999999999999,0.0,5.18,5.611,8.364,90,90,90,-9.222999999999999
AlCdO3,Al,Cd,orthorhombic,-1.93,0.19699999999999998,-,11.712,0.21100000000000002,5.236,5.506,8.124,90,90,90,-7.376
AlCeO3,Al,Ce,orthorhombic,-3.19,0.289,0,13.607999999999999,2.937,5.557,5.574,8.786,90,90,90,-7.106
AlCoO3,Al,Co,cubic,-0.9570000000000001,1.3019999999999998,0.005,9.363,0.0,3.604,3.604,3.604,90,90,90,-1.9909999999999999
AlCrO3,Al,Cr,cubic,-1.534,1.339,0.541,10.504000000000001,0.0,3.745,3.745,3.745,90,90,90,-1.25
AlCsO3,Al,Cs,cubic,0.425,2.668,-,17.34,0.0,4.426,4.426,4.426,90,90,90,-12.888
AlCuO3,Al,Cu,cubic,-0.6679999999999999,1.286,-,9.652000000000001,0.0,3.641,3.641,3.641,90,90,90,-3.853
AlDyO3,Al,Dy,rhombohedral,-3.343,0.244,0,13.125,3.763,5.993,5.993,5.993,54.1,54.1,54.1,-6.4239999999999995
AlErO3,Al,Er,orthorhombic,-3.36,0.242,0,11.774000000000001,3.077,5.328,5.337,8.281,90,90,90,-6.199
AlEuO3,Al,Eu,orthorhombic,-2.925,0.18,0,12.765,0.226,5.134,5.797,8.578,90,90,90,-8.901
AlFeO3,Al,Fe,cubic,-1.125,1.3319999999999999,0.853,10.495999999999999,0.0,3.744,3.744,3.744,90,90,90,-2.445
AlGaO3,Al,Ga,cubic,-1.246,1.4369999999999998,-,10.465,0.0,3.74,3.74,3.74,90,90,90,-3.306
AlGdO3,Al,Gd,rhombohedral,-3.3160000000000003,0.253,0,13.622,3.807,6.086,6.086,6.086,53.8,53.8,53.8,-6.621
AlGeO3,Al,Ge,cubic,-1.324,1.168,-,10.214,0.0,3.71,3.71,3.71,90,90,90,0.597
AlHfO3,Al,Hf,cubic,-2.376,1.031,0,13.345,0.0,4.056,4.056,4.056,90,90,90,-0.122
AlHoO3,Al,Ho,rhombohedral,-3.3569999999999998,0.23800000000000002,0,12.949000000000002,3.715,5.966,5.966,5.966,54.1,54.1,54.1,-6.308
AlInO3,Al,In,orthorhombic,-2.354,0.201,-,11.102,1.524,5.22,5.226,8.141,90,90,90,-5.702000000000001
AlIrO3,Al,Ir,cubic,-0.63,1.482,0.046,11.877,0.0,3.901,3.901,3.901,90,90,90,0.139
AlKO3,Al,K,orthorhombic,-1.982,0.285,-,14.152000000000001,2.012,5.624,6.743,7.464,90,90,90,-16.374000000000002
AlLaO3,Al,La,orthorhombic,-3.335,0.226,0,13.793,3.69,5.461,5.529,9.137,90,90,90,-6.662000000000001
AlLiO3,Al,Li,cubic,-0.6829999999999999,1.686,-,8.215,0.0,3.45,3.45,3.45,90,90,90,-6.246
AlLuO3,Al,Lu,rhombohedral,-3.397,0.225,0,12.134,3.815,5.786,5.786,5.786,55.1,55.1,55.1,-5.7589999999999995
AlMgO3,Al,Mg,cubic,-1.168,1.6909999999999998,-,10.399000000000001,0.0,3.732,3.732,3.732,90,90,90,-5.359
AlMnO3,Al,Mn,cubic,-1.359,1.2819999999999998,0.69,10.42,0.0,3.735,3.735,3.735,90,90,90,-2.158
AlMoO3,Al,Mo,cubic,-1.574,1.028,0,12.186,0.0,3.935,3.935,3.935,90,90,90,3.998
AlNaO3,Al,Na,orthorhombic,-1.9709999999999999,0.321,-,11.427,2.09,5.461,5.978,7.002,90,90,90,-11.819
AlNbO3,Al,Nb,cubic,-1.999,0.882,-0.001,13.005,0.0,4.021,4.021,4.021,90,90,90,4.777
AlNdO3,Al,Nd,orthorhombic,-3.233,0.28,0,13.107999999999999,3.042,5.495,5.509,8.66,90,90,90,-7.031000000000001
AlNiO3,Al,Ni,cubic,-0.821,1.308,0.177,9.43,0.0,3.613,3.613,3.613,90,90,90,-3.057
AlNpO3,Al,Np,orthorhombic,-3.234,0.268,0.8,13.507,1.4680000000000002,5.448,5.46,9.082,90,90,90,-1.4069999999999998
AlOsO3,Al,Os,cubic,-0.857,1.298,0,11.825,0.0,3.896,3.896,3.896,90,90,90,1.9
AlPaO3,Al,Pa,cubic,-2.259,0.768,0,16.861,2.193,4.385,4.385,4.385,90,90,90,5.433
AlPbO3,Al,Pb,orthorhombic,-1.959,0.29100000000000004,-,12.675,0.0,5.467,5.475,8.47,90,90,90,-4.904
AlPdO3,Al,Pd,cubic,-0.43799999999999994,1.454,-,11.84,0.0,3.897,3.897,3.897,90,90,90,-3.303
AlPmO3,Al,Pm,orthorhombic,-3.2560000000000002,0.27399999999999997,0,12.876,2.97,5.469,5.484,8.587,90,90,90,-6.858
AlPrO3,Al,Pr,orthorhombic,-3.213,0.28600000000000003,0,13.347000000000001,2.935,5.529,5.537,8.72,90,90,90,-7.082000000000001
AlPtO3,Al,Pt,cubic,-0.41700000000000004,1.564,0,12.279000000000002,0.0,3.945,3.945,3.945,90,90,90,-0.9229999999999999
AlPuO3,Al,Pu,orthorhombic,-3.306,0.21600000000000003,1,13.362,1.93,5.412,5.435,9.086,90,90,90,-2.763
AlRbO3,Al,Rb,cubic,0.71,2.952,-,15.860999999999999,0.0,4.296,4.296,4.296,90,90,90,-15.897
AlReO3,Al,Re,cubic,-1.244,1.157,0,11.970999999999998,0.0,3.912,3.912,3.912,90,90,90,3.045
AlRhO3,Al,Rh,cubic,-0.6659999999999999,1.433,0.082,11.614,0.0,3.872,3.872,3.872,90,90,90,-2.563
AlRuO3,Al,Ru,cubic,-0.871,1.331,0.212,11.595999999999998,0.0,3.87,3.87,3.87,90,90,90,0.5760000000000001
AlSbO3,Al,Sb,cubic,-1.11,1.3119999999999998,-,12.982999999999999,0.0,4.019,4.019,4.019,90,90,90,1.8219999999999998
AlScO3,Al,Sc,cubic,-1.867,1.669,-0.012,12.556,0.0,3.974,3.974,3.974,90,90,90,-4.725
AlSiO3,Al,Si,cubic,-1.9909999999999999,1.033,-,8.794,0.0,3.53,3.53,3.53,90,90,90,5.627999999999999
AlSmO3,Al,Sm,orthorhombic,-3.267,0.27,0,12.728,3.072,5.45,5.462,8.551,90,90,90,-6.818
AlSnO3,Al,Sn,cubic,-1.209,1.317,-,12.859000000000002,0.0,4.006,4.006,4.006,90,90,90,-1.044
AlSrO3,Al,Sr,orthorhombic,-2.765,0.19399999999999998,-,13.698,0.445,5.259,5.926,8.791,90,90,90,-10.222000000000001
AlTaO3,Al,Ta,cubic,-2.219,0.753,0,12.82,0.0,4.002,4.002,4.002,90,90,90,5.56
AlTbO3,Al,Tb,rhombohedral,-3.197,0.251,0,13.312000000000001,3.738,6.025,6.025,6.025,54,54,54,-6.525
AlTcO3,Al,Tc,cubic,-1.22,1.178,0.005,11.777000000000001,0.0,3.89,3.89,3.89,90,90,90,2.474
AlTeO3,Al,Te,cubic,-0.8009999999999999,1.416,-,13.852,0.0,4.107,4.107,4.107,90,90,90,1.55
AlThO3,Al,Th,cubic,-2.164,1.466,-0.156,18.528,0.0,4.525,4.525,4.525,90,90,90,-2.435
AlTiO3,Al,Ti,cubic,-2.161,1.032,0,11.337,0.0,3.841,3.841,3.841,90,90,90,0.011000000000000001
